rank,name,confed,off,def,spi
1,Spain,UEFA,3.52,0.56,91.92
2,Brazil,CONMEBOL,2.88,0.37,90.29
3,Germany,UEFA,3.17,0.61,88.86
4,Argentina,CONMEBOL,2.67,0.41,88.04
5,Belgium,UEFA,3.0,0.58,87.97
6,England,UEFA,2.81,0.53,87.2
7,Netherlands,UEFA,2.79,0.58,86.08
8,France,UEFA,2.65,0.56,85.13
9,Italy,UEFA,2.4,0.51,83.26
10,Uruguay,CONMEBOL,2.37,0.5,83.16
11,Colombia,CONMEBOL,2.19,0.41,82.99
12,Portugal,UEFA,2.42,0.55,82.75
13,Croatia,UEFA,2.52,0.72,80.55
14,Switzerland,UEFA,2.44,0.7,79.98
15,Russia,UEFA,2.28,0.73,77.16
16,Mexico,CONCACAF,2.24,0.74,76.36
17,Chile,CONMEBOL,2.13,0.7,75.78
18,Denmark,UEFA,2.08,0.66,75.63
19,Sweden,UEFA,2.1,0.7,75.19
20,Austria,UEFA,2.07,0.68,75.07
21,Ukraine,UEFA,1.93,0.69,72.61
22,Peru,CONMEBOL,1.87,0.68,71.9
23,Algeria,CAF,2.02,0.79,71.8
24,Serbia,UEFA,2.14,0.9,71.24
25,Poland,UEFA,1.89,0.75,70.52
26,Ghana,CAF,1.6,0.54,70.44
27,Norway,UEFA,1.94,0.79,70.35
28,Japan,AFC,1.94,0.8,70.23
29,Venezuela,CONMEBOL,1.9,0.77,70.17
30,USA,CONCACAF,1.88,0.77,69.75
31,Senegal,CAF,1.67,0.62,69.73
32,Czech Republic,UEFA,1.98,0.88,69.13
33,Bosnia and Herzegovina,UEFA,2.0,0.91,68.7
34,Wales,UEFA,1.77,0.75,68.34
35,Ecuador,CONMEBOL,1.81,0.79,68.1
36,Paraguay,CONMEBOL,1.77,0.76,68.09
37,Turkey,UEFA,1.8,0.8,67.73
38,Iran,AFC,1.71,0.73,67.62
39,Australia,AFC,1.92,0.9,67.34
40,Morocco,CAF,1.67,0.72,66.91
41,Mali,CAF,1.62,0.75,65.51
42,Slovakia,UEFA,1.91,0.98,65.39
43,Ivory Coast,CAF,1.64,0.83,63.94
44,Nigeria,CAF,1.87,1.05,63.23
45,South Korea,AFC,1.48,0.74,62.52
46,Tunisia,CAF,1.62,0.88,62.03
47,Costa Rica,CONCACAF,1.62,0.89,61.93
48,Greece,UEFA,1.51,0.8,61.67
49,Iceland,UEFA,1.74,1.02,61.29
50,Romania,UEFA,1.59,0.92,60.54
51,Northern Ireland,UEFA,1.46,0.84,59.49
52,Cameroon,CAF,1.41,0.81,59.37
53,Egypt,CAF,1.49,0.91,58.7
54,Qatar,AFC,1.59,1.01,58.43
55,Rep of Ireland,UEFA,1.39,0.83,58.14
56,Slovenia,UEFA,1.48,0.92,58.14
57,Finland,UEFA,1.55,0.98,58.08
58,Iraq,AFC,1.48,0.92,58.08
